id,name,note,createdAt,updatedAt
165,厄瓜多尔,,2016/8/24,2016/8/24
166,牙买加,,2016/8/24,2016/8/24
167,乌拉圭,,2016/8/24,2016/8/24
168,巴巴多斯,,2016/8/24,2016/8/24
169,圣卢西亚,,2016/8/24,2016/8/24
170,圭亚那,,2016/8/24,2016/8/24
171,危地马拉,,2016/8/24,2016/8/24
172,多米尼加,,2016/8/24,2016/8/24
173,墨西哥,,2016/8/24,2016/8/24
174,多米尼克,,2016/8/24,2016/8/24
175,阿根廷,,2016/8/24,2016/8/24
176,委内瑞拉,,2016/8/24,2016/8/24
177,哥伦比亚,,2016/8/24,2016/8/24
178,安提瓜和巴布达,,2016/8/24,2016/8/24
179,苏里南,,2016/8/24,2016/8/24
180,伯利兹,,2016/8/24,2016/8/24
181,哥斯达黎加,,2016/8/24,2016/8/24
182,特立尼达和多巴哥,,2016/8/24,2016/8/24
183,澳大利亚,,2016/8/24,2016/8/24
184,新西兰,,2016/8/24,2016/8/24
185,斐济,,2016/8/24,2016/8/24
186,汤加,,2016/8/24,2016/8/24
187,巴布亚新几内亚,,2016/8/24,2016/8/24
188,图瓦卢,,2016/8/24,2016/8/24
189,所罗门群岛,,2016/8/24,2016/8/24
190,瑙鲁,,2016/8/24,2016/8/24
191,基里巴斯,,2016/8/24,2016/8/24
192,马绍尔群岛,,2016/8/24,2016/8/24
193,帕劳,,2016/8/24,2016/8/24
194,密克罗尼西亚联邦,,2016/8/24,2016/8/24
195,克什米尔,,2016/8/24,2016/8/24
196,库克群岛,,2016/8/24,2016/8/24
197,法属波利尼西亚,,2016/8/24,2016/8/24
198,北马里亚纳群岛,,2016/8/24,2016/8/24
199,百慕大群岛(英),,2016/8/24,2016/8/24
200,美属维尔京群岛,,2016/8/24,2016/8/24
201,马提尼克岛(法),,2016/8/24,2016/8/24
202,加那利群岛,,2016/8/24,2016/8/24
203,马尔维纳斯群岛,,2016/8/24,2016/8/24
204,西撒哈拉,,2016/8/24,2016/8/24
205,美属萨摩亚,,2016/8/24,2016/8/24
206,法属圭亚那,,2016/8/24,2016/8/24
207,关岛(美),,2016/8/24,2016/8/24
208,开曼群岛,,2016/8/24,2016/8/24
209,英属维尔京群岛,,2016/8/24,2016/8/24
210,阿鲁巴(荷),,2016/8/24,2016/8/24
211,圣赫勒拿,,2016/8/24,2016/8/24
212,新喀里多尼克,,2016/8/24,2016/8/24
213,纽埃(新),,2016/8/24,2016/8/24
214,皮特凯恩(英),,2016/8/24,2016/8/24
215,格陵兰(丹),,2016/8/24,2016/8/24
216,波多黎各岛(美),,2016/8/24,2016/8/24
217,瓜德罗普岛(法),,2016/8/24,2016/8/24
218,荷属安的列斯,,2016/8/24,2016/8/24
219,留尼汪,,2016/8/24,2016/8/24
220,其他,,2016/8/24,2016/8/24
